,followers
812,blessedandbeloved_
813,gazelt
814,chocolatecroissantx
815,charystals
816,mariotiagogems
817,_lalasa___
818,pinkyzaints
819,_the_crystal_girls_
820,im._tutu
821,nuggetdickslayer
822,xjmin__
823,crystal.beelief
824,watancrystalminerals
825,celiest.co
826,yellow_narcissus
827,threeonesee
828,karenseah
829,druzywoozey
830,akinachudory
831,yvonneang82
832,ebloveable
833,aworldofmyown23
834,amanda.licion
835,specimens_miner
836,sherlynnboo
837,chieupei
838,fmx99
839,crystalixie_2
840,lun4r0ck
841,_inlovewithcrystal_
842,jessizizi
843,fantalcrystals
844,oolongcrystals_
845,sagefutureemp
846,neequnalichidongxi
847,neptheus
848,minerals555
849,hj_natural_stone
850,amleeshasie
851,missanpan
852,alexchinggg
853,ecokonfetti
854,khotijahhumairah
855,andysmith.asc
856,queklihiang
857,stephietym
858,charmrummy
859,veryhuathuat
860,greenielove
861,c0rriinne
862,audrey_tey
863,sarbsxoxo
864,bonnievieve
865,nee.tsn
866,leecynbei
867,shopcristalco
868,caelumcrystals
869,fairy.ytf
870,maglmy
871,wennxuann
872,loveallcrystals
873,di4ry0fthew00nkid
874,crystalshop997
875,sherrybaby7
876,x_yuuuu
877,lingalingabell
878,omnommnommm
879,saunda_ya_xue
880,anthealieu
881,merlene_z
882,ilovepeach_oolong
883,visforvitagen
884,rene.sullivan29
885,carimehly
886,sailesh10
887,ass.tea
888,salmonbeb
889,ohheyypei
890,carolinepoopy
891,rachelelenatessa
892,mayong_9
893,mel.kwn
894,tofubelle
895,link_crys
896,25mayx
897,meowslowblink
898,vico_studio
899,bimbie_crystals_sales
900,theartistry.id
901,crystalogysg
902,00nhlb
903,zhuzhou674
904,peipei2310
905,papistal_lab
906,chipix__
907,nofalfayadh
908,boburnham_._
909,tj.jasmine
910,indoocrantscc
911,aby.3186
912,dopewearateam
913,miin.js
914,octopustonecrystalshop
915,phoelee
916,wantingz97
917,skinologically
918,dawnaryy
919,buttercupkrisp
920,jollyxday
921,pertinalin
922,spiiderfish
923,sp3nd1ngh0e
924,tyx.zyx
925,tiffychowsw
926,peacemakercandles
927,jingwennewgnij
928,mcbuttermilk
929,crystal_stone_sculpture9
930,collection_cry88
931,the.gems.bank
932,gemstone_732
933,overthinkingisgr8
934,simyuying
935,chele_seashell
936,kekecckl
937,so4.rocks
938,sweeti_cooki
939,inducedpluripotent.stemcell
940,crayyzee
941,coldbrewandnovels
942,blueythemonk
943,kerineyyy
944,elite.crystals
945,sisichew
946,azzura_crystal_31
947,sloppy.crafts
948,crystal_wholesales
949,6iscuit
950,polished.stones
951,jia_crystal.wholesale
952,ytjq.blings
953,simple_life_999
954,chaoda.toastys
955,semesta_crystal_nature
956,calcitewholsaler
957,nadakhnn
958,bebe.adele
959,ezann.musings
960,sharon_lhl
961,eatandtravel.blog
962,natural_setone
963,rinanxy
964,krystalsatori
965,thedara.crystal
966,crystalwholesale_xu
967,ms_muck
968,stephysim
969,jingcrystals
970,menhera.i
971,bhnsparklysparkles
972,crystal_wholesale_yi
973,curlydimple
974,nachas_crazy_spam
975,melaniecee13
976,crystal_factoryshop
977,peylng
978,bunnybobshop
979,agateart110
980,eagle_crystals_palace
981,phytls
982,_shxronne
983,steveslck
984,shainapun1012
985,cryst4licious
986,tealeaves14
987,sodacup007
988,izzati.zain__
989,gyeoljeong.id
990,jimii_ang
991,yslbear
992,calcitecrystal_
993,lixian12
994,behbehcca
995,mipfyc
996,jinting1215
997,feyrine_wong
998,sssyekkk
999,natyuen_
1000,blingblingrocks
1001,awang_pink
1002,_mycrystaljourney
1003,thehumminglife
1004,hollybee_crystals
1005,joysjasper
1006,sylvia_sita
1007,klearly_joy
1008,z.xlia
1009,ankahediyelik19
1010,eileenang
1011,kawaimissyeste
1012,chloenatan
1013,_fazlinaaa_
1014,leikacrystals
1015,zosrocks
1016,8866won
1017,hayzel.blush
1018,lingxuannn
1019,meannime.shelby
1020,user0399998
1021,sunshine.crystals
1022,vannavvv_
1023,mystix.crystal
1024,peachfxce
1025,cherylsi
1026,eastcoastjuicygems
1027,einujjunie_
1028,chamiecrystals
1029,linwei246
1030,reindropsxroses
1031,crystalwholesaler_p
1032,uniques_crystals_india
1033,liquidpebbles
1034,jing_jing_59
1035,jevyyy_
1036,0810_bun
1037,beucart
1038,xianxiannn
1039,cc.closetclearance
1040,ngwnxn
1041,peenutbutternut
1042,petiteksf
1043,winnieong__
1044,redkhor
1045,ceciliatanej
1046,magpalene
1047,zoeytang
1048,heyraec
1049,kissysj
1050,gnimoos
1051,jessieejl
1052,polished.store
1053,lilmisslate
1054,wholesaler_of_polished
1055,stcewol
1056,chiou.huey.3
1057,jollycooper
1058,hi.eunice
1059,rockscapade
1060,amandalicion
1061,ll.crystals
1062,jas1771173
1063,adeline.teoh
1064,yv0nne_te3
1065,a.tyjj
1066,in.a.fit.of.rach
1067,yyona.t
1068,maemak
1069,hiingl
1070,endahsurefive
1071,dewiprast
1072,cynfullcrystals
1073,ptopuyy
1074,mayyyyy09
1075,ihwtfyta
1076,jess_kaylalala
1077,cheris.c
1078,_d_elicate
1079,bbeu.phoria
1080,moonlightgems_sg
1081,shah_polished_stones
1082,hengkyjhs
1083,cass.lw
1084,lifeinthesmall
1085,itz_karen2607
1086,mavistbw
1087,oharadaisyy
1088,ashura199
1089,sqelf
1090,rainbowcrystalx
1091,your.crystals.supplier
1092,vanntan
1093,nikiehoney
1094,cosyburrito
1095,crazymin_
1096,shortywinnie
1097,atsuki.sg
1098,crystals.for.belle
1099,mich.crystalss
1100,drost21
1101,a_chl
1102,fellyloi
1103,veonyii
1104,giem2_yao
1105,mrskwik
1106,charmz4fun
1107,rockingmacrony
1108,sparklefairy.crystals
1109,eemyajnat
1110,jingg_
1111,nessaasalways
1112,cynd_x
1113,peiletters
1114,alltoess
1115,yeos.truly.rocks
1116,crime._.brulee
1117,affirmationcow
1118,mizzy17_
1119,celestite.jpg
1120,frxhkhn
1121,jabberbbywocky
1122,asliceofmind
1123,ashton_wendy
1124,lilitock
1125,ahxuannn
1126,ethan_ee
1127,ridingwiththebenzo
1128,jolenelimfb
1129,supernovaaax
1130,joc2lyn
1131,veralalaland
1132,lip_element
1133,shilohxcosmos
1134,bryanahuang
1135,idkanymbye
1136,sussywussylilbaka
1137,v3rn0i
1138,jlene.sg
1139,crystalixie_
1140,tyt0911
1141,prinklesparkles
1142,kakskdnwlm
1143,lazy_t0fu
1144,shoveaway
1145,jo.crystals
1146,jingvven_
1147,cai.ye.en
1148,szezineneedsfood
1149,crystalindonesia799
1150,helenyeo
1151,piggycanflyy
1152,qyyee
1153,pehweiting
1154,wanyee.f
1155,w.wendyyyy
1156,euphoringed
1157,airplantssg
1158,chezuyen
1159,triocheesebakedpenne
1160,dear21crystals
1161,eleeyeahh
1162,rustyy_sheyyy
1163,rylikfongjk
1164,sirless
1165,heyitsangeltey
1166,imtheyoungflexercomeon
1167,sabreenabonita
1168,cjyjun_
1169,shaoens
1170,barbarbzzzz
1171,herhuey
1172,harryewhw
1173,cheinscrystal
1174,krystalstories
1175,caramellimbokchoi122
1176,haw.tdawg
1177,_caitlynnx_
1178,raaachellam
1179,kellyninjachan
1180,anastasialiaoo
1181,soostcrystals
1182,helloimshya
1183,catherine_soh
1184,gemandberry
1185,iamsally.32
1186,ashleu.crystals
1187,yien_yin
1188,aaaverieday
1189,yelmeromero
1190,samantha_tan_
1191,fijiw4ter
1192,chicie__
1193,jaycetan1979
1194,moivon
1195,clarafied__
1196,deborwarrr
1197,alistals
1198,meliancrystals
1199,eizzus
1200,amyadrina87
1201,paula.ignacia92
1202,stonesofgaia
1203,iwtogtfosg
1204,galaxylove43
1205,zhapcaistones
1206,crystal_4_world_
1207,lisa_kalista.sg
1208,rockrepository
1209,sunshine_cookies
1210,timeforalittle
1211,slivcrystals
1212,sykxian
1213,lipiing
1214,dalbeads
1215,pinkrosycheeks
1216,yoojia13
1217,axlcs
1218,crystalgemsg
1219,zz.hui.zz
1220,ongwj300
1221,yisforyo
1222,pootiness
1223,nutty.crystascape
1224,immichiie
1225,yamatekudastop
1226,iamsu7w
1227,thevirgorabbit
1228,crystal.eric.mineral
1229,dai.jiawen
1230,violetdeleaf
1231,nikzium
