,followers
861,happyashappydoes
862,uniquelyjolyn
863,kaur.crystals
864,phyllis.or
865,gemstone_lovely
866,kakashi_itachiu
867,crystalcanshowyoutheworld
868,markmiles14
869,kereengan
870,mrz_crystals.031
871,you3li2sha1
872,madelinexwong
873,mermaidgems_minerals
874,virgo.witch.shop
875,huslina_husin
876,groovycrystalsbylili
877,_cassandrawencii
878,_320axm
879,a.wy.w
880,a_y__t_w
881,jwixy
882,cinimodcinnamon
883,suci_crystalshop
884,gwangsooo
885,laura_langbraaten
886,11yenny77
887,belovedcrystals.au
888,twiggycyn
889,stoneyloony
890,norashikin_amin
891,nicolepigka
892,elain_09
893,oooziro
894,csceleshellc
895,christinetenhs
896,jlovecrystals
897,babycoolkids.s
898,ohdaisies
899,_.sh3rv
900,afterlifeplannersg
901,_daphnetay
902,lavenderellaa
903,tiredofphony
904,yoveyta25
905,jiygnij
906,fellixiaa
907,graciegoesplaces
908,annacsx
909,jnlyx
910,rourika
911,claudeeahh
912,www_weiweiwong
913,chew.carol
914,iam_annepalo
915,leonlemonme
916,treasasa
917,d_killyah
918,tammie_1309
919,dory.fam
920,mls284_
921,1kristim2
922,a_meander
923,chikadoldol
924,luckycrystalsx
925,diana_1199
926,xbloominxx
927,fanny_blings
928,shx.ronn
929,iamronns
930,vivyansim
931,mamo_behmo
932,buuberry
933,bewwypuddles
934,shunhuisotong
935,chelulululu_
936,chicie__
937,ssyw10
938,keksclan
939,sotongchan
940,sharrelchia
941,graystals
942,coffee.addict.linn
943,dalfienest
944,lynda.nursah
945,stephy_tansy
946,eileenlovekimchi
947,jacqwyl
948,joanciee
949,alfian_ayesha
950,carolinalim
951,jolinelzh
952,mentalfiction
953,wafflynn
954,sha.ev
955,giraffication
956,shendykoh
957,zz.unicorn
958,mombietan
959,wenxuan_
960,tinycrystals.sg
961,nanachanzz
962,nightmare_piglet_
963,huiitong
964,vian.v_
965,xiinx3
966,sillylittledickinfection
967,karrotsarepurple
968,ang78ann
969,romihaiku
970,paletteofstones
971,saraamamma
972,ylrinatan
973,nicole_tanyx
974,crystais_sh
975,raisaloventa
976,therealmsx
977,deblxy
978,mdjuang
979,sylng88
980,marie_joshep
981,lol_einfach_nein
982,phaseartcana
983,taylor151619
984,jieyiyi
985,conmodedu
986,edruzy
987,nurularahim
988,theresiaaniaaa
989,stephanieyyl_
990,agirlhasnoname_________
991,mirror_mirror_goods
992,crystlacey
993,xo.magnolia.ox
994,caitlinkeng
995,ecinahsmai
996,rootbeerfloatt
997,genieinebottle
998,thebigbiq
999,jiang_ming_26
