,index,date,caption,comments,likes
61,61,2021-06-20 16:21:03,"super 7 towers and spheres 👾 [SOLD OUT]

join us on tues, 22nd june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,53
62,62,2021-06-19 20:21:45,"druzy agate cat head / heart 🐈🤍

join us on tues, 22nd june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,97
63,63,2021-06-19 15:01:06,"watermelon tourmaline (restocked) 🍉💖

join us on tues, 22nd june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,190
64,64,2021-06-06 23:41:18,"spanish pyrite 💰[SOLD OUT]

stand a chance to win a special prize with every spanish pyrite purchased! 😍 
find out in our live sales this coming tues! 🥳

join us on tues, 8th june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,52
65,65,2021-06-06 23:39:13,"druzy agate pair geodes 🤍 [SOLD OUT]

join us on tues, 8th june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,28
66,66,2021-06-06 23:32:48,"samadhi quartz clusters 💗

join us on tues, 8th june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,29
67,67,2021-06-05 16:36:48,"rainbow amethyst clusters 🌈 [SOLD OUT]

very long never use this sentence but... really.... 美到没有朋友!!!!!! 😍

join us on tues, 8th june, 8pm!!✨

comment down below what’s your favourite rainbow amethyst colour!!!!! 💕

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",2,97
68,68,2021-05-30 18:00:48,"amazonite towers ✨ [SOLD OUT]

join us on tues, 1st june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,53
69,69,2021-05-29 21:24:32,"rainbow amethyst clusters 🌈 [SOLD OUT]

join us on tues, 1st June, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",9,129
70,70,2021-05-27 16:17:51,"-2000 followers giveaway- ✨

another milestone achieved! ✨💖 

it hasn’t been easy, and really from the bottom of my heart, thank you everyone who are here celebrating this milestone with us 💕 it means a lot to us!! ☺️

to give back to you awesome people, we are giving away $508 worth of items to 8 lucky winners! 😚💗

1 x watermelon tourmaline worth $268
1 x fluorite slab worth $95
1 x rhodochrosite tower worth $45
5 x pink amethyst clusters worth $100

how to join:

✨ follow @kayla.crystals and like this post. *mandatory* ✨

✨ tag 3 friends and tell us what you want to see in our next collection 💕 (one comment = 1 entry) *mandatory* ✨

✨ share this post on your story for additional 2 entries! *one post per day* 💕(please screenshot and send us if your account is private.)

✨ every item purchased from 24th May-8th June will have additional 1 entry per item! ✨

giveaway will end on 10th June, 2359! ☺️💖 winners will be drawn on 15th June, tues live sales ✨🥰 

good luck to you! have fun 😋💗",440,284
71,71,2021-05-23 18:07:57,"druzy chrysocolla 💙

join us on tues, 25th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,55
72,72,2021-05-23 02:56:11,"amethyst clusters from alacam mine, turkey 🇹🇷 
[SOLD OUT]

join us on tues, 25th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,35
73,73,2021-05-15 15:57:44,"lavender fluorite cylinder tower 💜💚 (SOLD OUT)

join us on tues, 18th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,88
74,74,2021-05-09 14:28:46,"bracelets ✨💖😍
- rose quartz with lavender amethyst 
- aquamarine with clear quartz 
- labradorite 
- green phantom with green strawberry 
- red agate with gold rutile 

join us on tues, 11th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,23
75,75,2021-05-09 14:24:04,"citrine towers (SOLD OUT)

join us on tues, 11th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,47
76,76,2021-05-08 19:19:22,"stichtite 💜

join us on tues, 11th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",4,116
77,77,2021-05-08 19:15:04,"watermelon tourmaline (restocked)!!🍉 (SOLD OUT)
lepidolite 💜 (SOLD OUT)

join us on tues, 11th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,72
78,78,2021-05-08 19:12:27,"spirit quartz🌵💜 (SOLD OUT) 

join us on tues, 11th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,47
79,79,2021-05-01 18:37:35,(SOLD OUT) comment a 🦄 if you‘re as excited as we are!!! 🌈,5,61
80,80,2021-05-01 18:33:28,"(SOLD OUT) so in love with this batch of pink amethyst!! 🌸 

unicorn, hearts, crescent moon restocked!!!! 

baby clouds and baby moon restocked along with stars and bats!!! 🌜⭐️☁️🦇",0,53
81,81,2021-05-01 18:08:05,"pink amethyst heaven!!! 😍 (SOLD OUT)

join us on tues, 4th may, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",2,154
