,index,date,caption,comments,likes
32,32,2021-11-17 13:30:39,"[SOLD] 𝕴 𝖋𝖊𝖊𝖑 𝖑𝖎𝖐𝖊 𝕴’𝖛𝖊 𝖇𝖊𝖊𝖓 𝖍𝖊𝖗𝖊 𝖇𝖊𝖋𝖔𝖗𝖊

Featuring @shxntxnx’s hauntingly beautiful photograph: moss agate skull filled with ✨quartzy dreams✨

All our skulls are one of a kind - that’s what makes them so personal 💀",5,201
33,33,2021-11-09 19:40:58,"👸🏼𝚐𝚘𝚕𝚍 𝚘𝚋𝚜𝚒𝚍𝚒𝚊𝚗 𝚍𝚎𝚊𝚝𝚑 𝚖𝚘𝚝𝚑 + 𝚜𝚎𝚛𝚙𝚎𝚗𝚝✨

Gold obsidians are not true minerals, but naturally formed volcanic glass. The silver/gold sheen that we see are gas bubbles remaining from the lava flow 🙀 

We simply can’t get enough of obsidians! They even come in rainbow sheens like whaaaaattttt⁉️

Last few pieces up for grabs - all comes with gold shimmers (and some silver ones) 🖤 DM to enquire!",9,189
34,34,2021-11-08 13:43:06,"🪞𝚖𝚎𝚍𝚞𝚜𝚊 𝚋𝚕𝚊𝚌𝚔 𝚘𝚋𝚜𝚒𝚍𝚒𝚊𝚗 𝚜𝚌𝚛𝚢𝚒𝚗𝚐 𝚖𝚒𝚛𝚛𝚘𝚛 🐍

We have good news - our sold out medusa obsidian mirrors are back! 🖤 

If you’ve missed out the last time (these went so quickly 🥺), here’s your chance!

Measures approximately 11.9 cm diameter, 1.3 cm width. Comes with stand, yours at $88 SGD 🌹 (estimated arrival: 3rd week nov) 

DM to order 😇",1,146
35,35,2021-11-06 15:07:06,"𝚌𝚘𝚜𝚖𝚒𝚌 𝚜𝚝𝚛𝚒𝚗𝚐𝚜 𝚌𝚘𝚕𝚕𝚎𝚌𝚝𝚒𝚘𝚗: 𝚌𝚘𝚗𝚏𝚎𝚝𝚝𝚒 𝚜𝚞𝚗𝚜𝚝𝚘𝚗𝚎 𝚋𝚛𝚊𝚌𝚎𝚕𝚎𝚝 🌅

Rarely into orange, but I’ll make an exception for sunstone 😍🧡 Yet another new addition to our cosmic strings collection - fully adjustable, fits all sizes 🎉

Available in a matching sunstone star necklace! DM to enquire 💫",3,105
36,36,2021-11-02 19:26:18,"💀𝚑𝚎𝚕𝚕𝚘 𝚗𝚘𝚟𝚎𝚖𝚋𝚎𝚛🔥

Spooky season has come to an end… or has it not? 🤫

Photo courtesy of @sugarcat__ 🖤
(labradorite skull + rainbow fluorite skull from our Halloween curation)",0,115
37,37,2021-10-31 23:59:30,"🎃𝚋𝚕𝚎𝚜𝚜𝚎𝚍 𝚜𝚊𝚖𝚑𝚊𝚒𝚗🕯

Ending spooktober in the best way possible, with every one of you 🖤 My heart is full and I’m feeling beyond blessed. Thank you 🐈‍⬛✨",2,120
38,38,2021-10-25 21:48:37,"[ALL SOLD]💀𝚝𝚑𝚛𝚎𝚎 𝚐𝚘𝚕𝚍𝚎𝚗 𝚖𝚞𝚜𝚔𝚎𝚝𝚎𝚎𝚛𝚜🤩

These high quality gold rutilated quartz mini skulls didn’t stick around for long - all were quickly adopted out to three lucky owners✨

Crystal skulls have long been a signature here at illa nocte - bel just can’t help it! 💀 Looking back now, it’s been 3 years since we introduced crystal skulls to our shop 🎉 Throughout this time, many of you have told me that you were never into skulls but have become converts 🙊

Drop me a comment if you’re a crystal skull convert + which crystal skull(s) you have adopted from illa nocte so far 🖤💀(ssshhh bel is in the mood for a mini giveaway)",21,122
39,39,2021-10-12 23:14:34,"🦉𝚋𝚕𝚊𝚌𝚔 𝚘𝚋𝚜𝚒𝚍𝚒𝚊𝚗 𝚠𝚒𝚝𝚌𝚑𝚢 𝚘𝚠𝚕 + 𝚙𝚞𝚖𝚙𝚔𝚒𝚗🎃

Intricately hand carved from a single block of protective black obsidian, and eyes adorned with mystical labradorite 👁 Bring home a piece of Halloween 🖤

2 witchy owls + pumpkins are available. 
DM to enquire!",11,127
40,40,2021-10-09 16:12:08,"[SOLD] ⚰️𝚖𝚘𝚜𝚜 𝚊𝚐𝚊𝚝𝚎 𝚌𝚘𝚏𝚏𝚒𝚗 𝚋𝚘𝚠𝚕⚰️

The one and only moss agate bowl brought in for Halloween. Posting it up to immortalize it as it goes off to reside in its new home 💚

You will be missed!",4,206
41,41,2021-10-07 20:49:32,"🐍𝚕𝚘𝚘𝚔𝚒𝚗’ 𝚕𝚒𝚔𝚎 𝚊 𝚜𝚗𝚊𝚔𝚎🐍

Well of course, can’t look out for snakes if you’re the snake in your friend group 🤭 

Snakes are special symbols of rebirth, renewal and healing. They repeatedly shed their skin in order to grow, and we too embody a similar process of spiritual growth here on this plane 🟢 So if the next time someone calls you a snake, say “thank you, I know” 🤫

Snake carving now comes in both Satin Spar and Ruby Zoisite (pictured in post). Available via DMs. 

Swipe left to reveal the Ruby fluorescence under ultraviolet light 🔦",13,226
