,index,date,caption,comments,likes
47,47,2021-11-02 14:42:49,"Hello Fated-ers! 

We - Aggy (Live host), Kryssie (Tray maker), and Hazzie (Invoicer) will be away for the next 1-2 months, to prep more amazing things for you guys!! So don’t worry as we will return soon!! 

Meanwhile, during this period of time we might not be able to attend the DMs and box closure request. We do appreciate your patience in the replies to be slower than usual. 

Our full return will in January but do keep a lookout to a soft return sometime in December hosting by Hazzie. So stay tune!!

#announcement",0,68
48,48,2021-10-28 13:36:25,"So.. this is finally happening!
Fated Customised Fat and Cute Cat Carvings, coming to you this Friday, 7pm! Not to miss out the huge range of Selenite and Satin Spar available to “Bom Bom” (shower) all your previous Crystals! 

If you’re unsure how to cleanse them, or how to work with Selenite / Satin Spar, join us tomorrow and we will share with you more! 

See ya, 7pm! Stay tune to our stories as there might be surprise live at 6pm to go thru some exclusive live items. 

#selenite #catcarvings #crystalsg #sgcrystal #crystal #crystals #satinspar",2,96
49,49,2021-10-22 15:55:47,"Pink to Blue or Blue to Pink! Drop by for tonight’s live with our curated Caribbean crystal trays! Yes they are back!! Swipe to see more cute curations! 

#Caribbean #pinkopal #crystal #crystalsg #resin #bts #resintray #crystals #handmade #beach",3,84
50,50,2021-10-21 09:15:15,"Pink Calcite is a powerful stone in preventing nightmares and in dealing with post-traumatic stress.

Pink Mangano Calcite is beneficial for the overall health and can provide healing in the bones and joints.

This stone will be very soothing and calming when you hold it in your hands during energy work or meditation.

It will boost your self-esteem and your self-confidence. It will also enhance your sense of compassion towards others.

This stone is beneficial for those who are suffering from any type of emotional trauma, including the loss of a loved one, a nasty breakup, or physical and emotional abuse.

Pink Mangano Calcite can cleanse and amplify the energies in your environment.

It will restore your motivation and help in accelerating your growth and development. It’s the perfect stone if you need a sharp memory to remember important details.

It will also fill you with inspiring and motivating energies that will help you achieve your goals. This stone will make you more confident about yourself and your abilities.

It will support you in overcoming your fears and in turning your ideas into action!

Be sure to grab these beauty this Friday, 7pm! #pinkcalcite",0,61
51,51,2021-10-20 08:38:31,"Pink Banded Calcite brings forth the ""happy"". It will connect you to memories and feelings that remind you of when you were at your happiest.

It will help you release your fears, open your heart, and go after what you want. It will help you feel safe in your heart. It will also give you the strength to cope with your emotional pains.

It’s a stone that will give you an extra boost of energy so you can get through your day. 

It will restore your motivation and help in accelerating your growth and development. It’s the perfect stone if you need a sharp memory to remember important details.

It will also fill you with inspiring and motivating energies that will help you achieve your goals. This stone will make you more confident about yourself and your abilities.

Available this Friday, 7pm! 

#pinkbandedcalcite",1,61
52,52,2021-10-19 20:57:26,"Caribbean Calcite is a helpful stone during times of new beginnings and personal growth. It offers Relief from stress and anxiety and promotes restful sleep and lucid dreaming. 

This stone will support you in expressing what you feel and think. It will remove anything in your system that’s discouraging you from sharing your emotions and thoughts freely with other people.

If you’re someone who worries a lot, Caribbean Calcite will encourage you to focus on your present life instead of your future life.

All your unresolved emotional issues will also be resolved with the help of this stone, especially the ones that are making you scared, panicky, distant, and irrationally angry.

Available this Friday, 7pm! 

#caribbeancalcite #caribbeancalcitestone #pinkbandedcalcite",0,100
53,53,2021-10-14 07:50:00,"Get ready to join us this Friday, 7pm for the spooky fun with super flashy Labradorite and thematic carvings to spice up your Halloween! 

There will also be Interesting segment such as winning prizes from treat or tricks and spooky ghost experiences stories sharing tomorrow! See ya tmr! 

#halloween #halloweencrystals #crystal #sgcrystal #crystalsg",1,57
54,54,2021-10-13 10:29:33,"👻Spooky Halloween Special🎃
Join us this Friday, 7pm for our special Halloween Special w/ some trick or treat game segments and not forgetting these special cute carvings! 

#halloween #halloweencrystal #crystalsg #crystalhalloween #sgcrystal #crystal",0,37
55,55,2021-10-12 09:00:18,"👻Spooky Halloween Special🎃

Join us this Friday, 7pm for the Special Halloween theme as we have plenty of Game Segments and Spooky Story Telling, not forgetting the super chio crystals that comes with it! 

Featuring Labradorite, A stone of transformation, Labradorite is a useful companion through change, imparting strength and perseverance.  It balances and protects the aura, raises consciousness and grounds spiritual energies.  Excellent for strengthening intuition - promoting psychic abilities.  Powerful in revealing the truth behind illusions, Labradorite banishes fears and insecurities, and strengthens faith in the self and trust in the universe.  It stimulates the imagination and calms an overactive mind, developing enthusiasm and new ideas.

See ya this Friday, 7pm! 

#crystal #crystalsg #sgcrystal #labradorite #halloweencrystal #crystalhalloween",2,55
56,56,2021-10-11 08:43:12,"👻Spooky Halloween Special🎃

Join us this Friday, 7pm for the Special Halloween theme with Special Game Segments and Spooky Story Telling - not forgetting all the super chio crystals comes with it! 

Featuring, Smoky Quartz - disperses fear, lifts depression and negativity. It brings emotional calmness, relieving stress and anxiety. Promotes positive thoughts and action. Dispels nightmares and manifests your dreams. Smokey Quartz aids concentration and assists in communication difficulties.

See ya this Friday, 7pm! 

#halloween #halloweencrystal #crystalsg #sgcrystal #crystals #crystal #smokyquartz #smokyquartzcrystal",0,55
57,57,2021-10-10 22:36:15,"👻Spooky Halloween Special 🎃 

Join us this Friday, 7pm for our Special Halloween theme! We have plenty of game segments and Spooky Story Telling to spice up the spooky Halloween mood - oh, and not forgetting the super chio crystals that comes with it! 

Featuring Amethyst Hearts - a powerful and protective stone. It guards against psychic attack, transmuting the energy into love and protecting the wearer from all types of harm, including geopathic or electromagnetic stress and ill wishes from others. 

See ya this Friday, 7pm!

#halloween #halloweencrystals #crystalhalloween #crystals #crystal #crystalsg #sgcrystal #amethyst",2,40
