,index,date,caption,comments,likes
30,30,2022-01-22 05:27:34,"🧧 Huat’s your lucky charm this Lunar New Year?

𝗡𝗘𝗪: 𝗪𝗲 𝗵𝗮𝘃𝗲 𝗷𝘂𝘀𝘁 𝗹𝗮𝘂𝗻𝗰𝗵𝗲𝗱 𝗼𝘂𝗿 𝗙𝘂 (福), 𝗟𝘂 (禄), 𝗦𝗵𝗼𝘂 (寿) 𝘀𝗲𝗿𝗶𝗲𝘀 𝘁𝗼 𝗯𝗿𝗶𝗻𝗴 𝘆𝗼𝘂 𝗺𝗼𝗿𝗲 𝗮𝗯𝘂𝗻𝗱𝗮𝗻𝗰𝗲 𝗮𝗻𝗱 𝗵𝗮𝗽𝗽𝗶𝗻𝗲𝘀𝘀 𝗮𝘀 𝘄𝗲 𝗿𝗼𝗹𝗹 𝗶𝗻𝘁𝗼 𝘁𝗵𝗲 𝗻𝗲𝘄 𝘆𝗲𝗮𝗿!",0,22
31,31,2022-01-19 03:03:03,"🧧 Huat’s your lucky charm this Lunar New Year?

𝗡𝗘𝗪: 𝗪𝗲 𝗵𝗮𝘃𝗲 𝗷𝘂𝘀𝘁 𝗹𝗮𝘂𝗻𝗰𝗵𝗲𝗱 𝗼𝘂𝗿 𝗙𝘂 (福), 𝗟𝘂 (禄), 𝗦𝗵𝗼𝘂 (寿) 𝘀𝗲𝗿𝗶𝗲𝘀 𝘁𝗼 𝗯𝗿𝗶𝗻𝗴 𝘆𝗼𝘂 𝗺𝗼𝗿𝗲 𝗮𝗯𝘂𝗻𝗱𝗮𝗻𝗰𝗲 𝗮𝗻𝗱 𝗵𝗮𝗽𝗽𝗶𝗻𝗲𝘀𝘀 𝗮𝘀 𝘄𝗲 𝗿𝗼𝗹𝗹 𝗶𝗻𝘁𝗼 𝘁𝗵𝗲 𝗻𝗲𝘄 𝘆𝗲𝗮𝗿!

Each set brings about a unique energy, creating a more positive state that you might just need to get rid of any negative energy as you prepare yourself for the new year. Get ready to put on some good luck charm and let the right energy flow. 

🖼️ Swipe images to view more.

👇To purchase, head over to the link below (access link at bio page) : www.gemstory.asia/product-category/cnyexclusive

#AbundanceOfGems",1,20
32,32,2022-01-16 03:34:23,HUAT's your LUCKY CHARM this coming Lunar New Year with GEMSTORY! ❤,0,14
33,33,2022-01-15 04:26:35,Our first video project in 2022! More to come! Stay tuned for our coming updates! Stay blessed and grateful! ❤,0,32
34,34,2022-01-14 00:38:38,"Why is Space Cleansing important? Especially in a brand new year where you are looking at refreshing your space energy! 

Check out the next upcoming posting for some cleansing methods you may used for your home to prepare your space for this coming Lunar New Year! 🥰

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #gratitude #abundance #manifest #positivity #shinelikeagem #beagem #conscious #mindful #spacecleansing #cleasningmethods #cleanseyourspace #welcomelunarnewyear #lunarnewyearcleansing",5,25
35,35,2022-01-13 03:58:48,"Always remind yourself daily! Happy Thursday folks! ❤

SHINE LIKE A GEM this brand new year! 

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #gratitude #abundance #manifest #positivity #shinelikeagem #beagem #conscious #mindful",0,26
36,36,2022-01-12 02:00:17,"Start attracting the right energy to you and be the energy you want to attract this new year! 

Stay positive and continue to be grateful, conscious and mindful about your daily thoughts to manifest what you wish for in this brand new year! 

Shine Like A GEM! Believe in the power within! 

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #gratitude #abundance #manifest #positivity #shinelikeagem #beagem #conscious #mindful",1,11
37,37,2022-01-05 02:07:04,"A brand new 2022 with our sincere appreciation to all our collaborators! 

Kudos to these brands who had been with us all these years! We are very thankful to have you in our store. 

We shall grow together as a team in coming years and we wish that you continue to strive and grow your brands through various platforms! 

Check out these amazing brands at our store today! ❤😇💪💪

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #collaborate #consignment #teamwork #supportlocalbusiness
#supportlocalbrands #growingtogether #kudos #thankful #ohnaturezen #saltlightsg #nila #ugochic #lumiscense",2,16
38,38,2022-01-02 04:06:14,"Happy Sunday folks! 

𝑺𝑯𝑰𝑵𝑬 𝑳𝑰𝑲𝑬 𝑨 𝑮𝑬𝑴 this coming brand new year! Illuminate like a sparkly gem to attract abundance, happiness & most importantly good health this 2022! 

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #shinelikeagem #happysunday #happy2022 #brandnewyear #brandnewstart #illuminatelikeagem",0,15
39,39,2022-01-01 08:25:11,"Welcome 2022! We are so excited with this brand new year as we are looking forward to all the upcoming new changes this year.

We have UPDATED our operating hours to serve you better!

Thank you for all your support during 2021 despite hard times due to several Covid19 shut downs and tightening measures. We all grow to become stronger and be more appreciative of what life had given everyone of us during tough periods.

We look forward to meet more people coming months before we announced our  new plans in Q2! Stay tuned! 😇❤💪

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes 
#newoperatinghours #welcome2022 #brandnewyear #serveyoubetter #better2022",0,16
40,40,2021-12-31 05:54:59,Wishing all a Happy New Year 2022!,0,11
41,41,2021-12-31 00:54:55,"Learn how to attract abundance through the power of gratitude and how to manifest by giving thanks to yourself and people around us. Learn how to be present in the moment & be mindful with your thoughts. 

Webinar on how to increase your abundance and bring positivity in 2022. 

https://promo.gemstory.asia/how-to-increase-your-abundance-and-positivity-in-2022 

We have managed to pull through this covid-19 pandemic period which had extended to beyond 2021 by staying anchored. We will be welcoming 2022, a brand new year with great positivity and abundance energy. 

The objective for this webinar is to allow each and everyone of us to give thanks to what we have learnt and achieved for year 2021, in spite of all the good and bad experiences. To be appreciative and grateful for what we have, to live in the present moment and to count our blessings. 

This is Glenn, founder of GEMSTORY, and I would like to invite you to join me in my very special webinar to manifest our mind and create an energy centre that would invite good positive vibes for the brand new year 2022. 

Click at the link below to register for this FREE webinar.
https://promo.gemstory.asia/how-to-increase-your-abundance-and-positivity-in-2022

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #abundance #positivity #welcome2022 #spacecleasning #energisedspace #love #2022manifestation",0,9
