Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts,possible_candidate
425,certainly.benevolent.person,11,63,False,5.727272727272728,3,No
426,cass.baylay,15,45,False,3.0,0,No
427,adelyneoo,3375,1575,False,0.4666666666666667,1835,No
428,fu22y.stones,0,88,True,88.0,0,No
429,bearie_bearie,127,381,True,3.0,129,No
430,lsserene,161,309,True,1.919254658385093,925,No
431,jolenejolene,467,1127,False,2.4132762312633838,1116,No
432,icyserenity,436,822,False,1.885321100917431,310,No
433,yukinaraquella,291,726,True,2.4948453608247423,234,No
434,0512wjffynn,14,505,True,36.07142857142857,61,No
435,sandralim23,411,590,True,1.4355231143552312,1360,No
436,carinpang21_,1001,3844,False,3.84015984015984,458,No
437,marshmellowvespa,315,857,True,2.7206349206349207,1245,No
438,shinx_tutuma,489,945,True,1.9325153374233128,2158,No
439,jojo_ll_trg,52,243,True,4.673076923076923,359,No
440,wendreyang,63,79,False,1.253968253968254,7,No
441,adlin_shm,186,6208,True,33.376344086021504,194,No
442,kerryonwithlife,233,550,True,2.360515021459228,172,No
443,0.34g_,0,242,True,242.0,0,No
444,mengpeng24,17,826,True,48.588235294117645,1912,No
445,serenelcc1238,64,66,False,1.03125,3,No
446,rachlklala,133,381,True,2.8646616541353382,75,No
447,thingsmycatcaught,109,723,False,6.63302752293578,89,No
448,kelly_hanneys,876,914,False,1.04337899543379,107,No
449,daphnygoh,64,74,False,1.15625,0,No
450,lhorein_29,147,2099,True,14.27891156462585,3,No
451,lee04933,4,45,True,11.25,0,No
452,mochabloomsg,24,26,False,1.0833333333333333,0,No
453,wtiffany66,113,303,True,2.68141592920354,9,No
454,jaywhyz,113,303,True,2.68141592920354,9,No
455,travelling.stars,113,303,True,2.68141592920354,9,No
456,_xuet,113,303,True,2.68141592920354,9,No
457,adoraffy,113,303,True,2.68141592920354,9,No
458,aliciaxthia,113,303,True,2.68141592920354,9,No
459,eve_ngern,113,303,True,2.68141592920354,9,No
460,jodieepodiee,113,303,True,2.68141592920354,9,No
461,kitty.adeline,113,303,True,2.68141592920354,9,No
462,pearlyyeoo,113,303,True,2.68141592920354,9,No
463,wenjinglim,113,303,True,2.68141592920354,9,No
464,mymandyy,113,303,True,2.68141592920354,9,No
465,clover_wonggg_,113,303,True,2.68141592920354,9,No
466,dar.shene,113,303,True,2.68141592920354,9,No
467,gohxa,113,303,True,2.68141592920354,9,No
468,magic.dolly88,113,303,True,2.68141592920354,9,No
469,marsiegee,113,303,True,2.68141592920354,9,No
470,brendalim88,113,303,True,2.68141592920354,9,No
471,inzannityy,113,303,True,2.68141592920354,9,No
472,sept.ten,113,303,True,2.68141592920354,9,No
473,moleymama,113,303,True,2.68141592920354,9,No
474,janchua54,113,303,True,2.68141592920354,9,No
475,maycanspin,113,303,True,2.68141592920354,9,No
476,unpatternedfloral,113,303,True,2.68141592920354,9,No
477,leejinni,113,303,True,2.68141592920354,9,No
478,lee._.yilin,113,303,True,2.68141592920354,9,No
479,kireiinana,113,303,True,2.68141592920354,9,No
480,michychia,113,303,True,2.68141592920354,9,No
481,motheroftiga,113,303,True,2.68141592920354,9,No
482,maybel.maybel,113,303,True,2.68141592920354,9,No
483,katherinekyliesim,113,303,True,2.68141592920354,9,No
484,misakoizawa,113,303,True,2.68141592920354,9,No
485,paandiselvi0410,113,303,True,2.68141592920354,9,No
486,nayuiq,113,303,True,2.68141592920354,9,No
487,kaelasparkles,113,303,True,2.68141592920354,9,No
488,pirateaye,113,303,True,2.68141592920354,9,No
489,yl1ng_ang,113,303,True,2.68141592920354,9,No
490,mookobb,113,303,True,2.68141592920354,9,No
491,sesetan,113,303,True,2.68141592920354,9,No
492,salihahpotato,113,303,True,2.68141592920354,9,No
493,norissofficial,113,303,True,2.68141592920354,9,No
494,lohjiaxin25,113,303,True,2.68141592920354,9,No
495,lampohyee,113,303,True,2.68141592920354,9,No
496,__dawn.jpeg,113,303,True,2.68141592920354,9,No
497,thebananamermaid,113,303,True,2.68141592920354,9,No
498,huilin8284,113,303,True,2.68141592920354,9,No
499,_nesanthegmahendren_,113,303,True,2.68141592920354,9,No
500,dapnng,113,303,True,2.68141592920354,9,No
501,ms_chlo3,113,303,True,2.68141592920354,9,No
502,velvetfluff,113,303,True,2.68141592920354,9,No
503,faithchong11,113,303,True,2.68141592920354,9,No
504,adelyne.ang,113,303,True,2.68141592920354,9,No
505,cynthiawmy,113,303,True,2.68141592920354,9,No
506,lohirene,113,303,True,2.68141592920354,9,No
507,yumin3006,113,303,True,2.68141592920354,9,No
508,conniecpp0311,113,303,True,2.68141592920354,9,No
509,gracelikesyou,113,303,True,2.68141592920354,9,No
510,rage_ajumoni,113,303,True,2.68141592920354,9,No
511,hejessiebe,113,303,True,2.68141592920354,9,No
512,gwengwenn,113,303,True,2.68141592920354,9,No
513,huimin_c,113,303,True,2.68141592920354,9,No
514,agent_g07,113,303,True,2.68141592920354,9,No
515,agnestankimpheng,113,303,True,2.68141592920354,9,No
516,umareumm,113,303,True,2.68141592920354,9,No
517,starlightsglaxing,113,303,True,2.68141592920354,9,No
518,shangkariselvarajah,113,303,True,2.68141592920354,9,No
519,gazellemum,113,303,True,2.68141592920354,9,No
